Time =              1500000, Counter = 205, amp = 147, Data_out =      x
Time =              2500000, Counter = 410, amp = 124, Data_out =      x
Time =              3500000, Counter = 615, amp = 63, Data_out =      x
Time =              4500000, Counter = 820, amp = 55, Data_out =      x
Time =              5500000, Counter = 1, amp = 103, Data_out =      x
Time =              6500000, Counter = 206, amp = 147, Data_out =      x
Time =              7500000, Counter = 411, amp = 124, Data_out =      x
Time =              8500000, Counter = 616, amp = 63, Data_out =      x
Time =              9500000, Counter = 821, amp = 55, Data_out =      x
Time =             10500000, Counter = 2, amp = 103, Data_out =      x
Time =             11500000, Counter = 207, amp = 148, Data_out =      x
Time =             12500000, Counter = 412, amp = 124, Data_out =      x
Time =             13500000, Counter = 617, amp = 63, Data_out =      x
Time =             14500000, Counter = 822, amp = 55, Data_out =      x
Time =             15500000, Counter = 3, amp = 103, Data_out =      x
Time =             16500000, Counter = 208, amp = 148, Data_out =      x
Time =             17500000, Counter = 413, amp = 124, Data_out =      x
Time =             18500000, Counter = 618, amp = 63, Data_out =      x
Time =             19500000, Counter = 823, amp = 55, Data_out =      x
Time =             20500000, Counter = 4, amp = 103, Data_out =      x
Time =             21500000, Counter = 209, amp = 148, Data_out =      x
Time =             22500000, Counter = 414, amp = 124, Data_out =      x
Time =             23500000, Counter = 619, amp = 63, Data_out =      x
Time =             24500000, Counter = 824, amp = 55, Data_out =      x
Time =             25500000, Counter = 5, amp = 103, Data_out =      x
Time =             26500000, Counter = 210, amp = 148, Data_out =      x
Time =             27500000, Counter = 415, amp = 124, Data_out =      x
Time =             28500000, Counter = 620, amp = 63, Data_out =      x
Time =             29500000, Counter = 825, amp = 55, Data_out =      x
Time =             30500000, Counter = 6, amp = 103, Data_out =      x
