Time =             31500000, Counter = 310, amp = 146, Data_out =  46495
Time =             32500000, Counter = 320, amp = 145, Data_out =  47044
Time =             33500000, Counter = 330, amp = 144, Data_out =  47533
Time =             34500000, Counter = 340, amp = 140, Data_out =  47949
Time =             35500000, Counter = 350, amp = 138, Data_out =  48305
Time =             36500000, Counter = 360, amp = 136, Data_out =  48607
Time =             37500000, Counter = 370, amp = 134, Data_out =  48869
Time =             38500000, Counter = 380, amp = 132, Data_out =  49083
Time =             39500000, Counter = 390, amp = 129, Data_out =  49226
Time =             40500000, Counter = 400, amp = 127, Data_out =  49290
Time =             41500000, Counter = 410, amp = 124, Data_out =  49282
Time =             42500000, Counter = 420, amp = 121, Data_out =  49208
Time =             43500000, Counter = 430, amp = 118, Data_out =  49054
Time =             44500000, Counter = 440, amp = 115, Data_out =  48835
Time =             45500000, Counter = 450, amp = 112, Data_out =  48570
Time =             46500000, Counter = 460, amp = 109, Data_out =  48251
Time =             47500000, Counter = 470, amp = 106, Data_out =  47834
Time =             48500000, Counter = 480, amp = 103, Data_out =  47311
Time =             49500000, Counter = 490, amp = 100, Data_out =  46696
Time =             50500000, Counter = 500, amp = 97, Data_out =  46015
Time =             51500000, Counter = 510, amp = 97, Data_out =  45302
Time =             52500000, Counter = 520, amp = 93, Data_out =  44569
Time =             53500000, Counter = 530, amp = 90, Data_out =  43842
Time =             54500000, Counter = 540, amp = 87, Data_out =  43084
Time =             55500000, Counter = 550, amp = 84, Data_out =  42278
Time =             56500000, Counter = 560, amp = 78, Data_out =  41421
Time =             57500000, Counter = 570, amp = 76, Data_out =  40533
Time =             58500000, Counter = 580, amp = 73, Data_out =  39592
Time =             59500000, Counter = 590, amp = 70, Data_out =  38614
Time =             60500000, Counter = 600, amp = 68, Data_out =  37628
Time =             61500000, Counter = 610, amp = 66, Data_out =  36639
Time =             62500000, Counter = 620, amp = 63, Data_out =  35647
Time =             63500000, Counter = 630, amp = 61, Data_out =  34689
Time =             64500000, Counter = 640, amp = 59, Data_out =  33790
Time =             65500000, Counter = 650, amp = 58, Data_out =  32929
Time =             66500000, Counter = 660, amp = 58, Data_out =  32094
Time =             67500000, Counter = 670, amp = 56, Data_out =  31239
Time =             68500000, Counter = 680, amp = 55, Data_out =  30320
Time =             69500000, Counter = 690, amp = 53, Data_out =  29298
Time =             70500000, Counter = 700, amp = 52, Data_out =  28200
Time =             71500000, Counter = 710, amp = 51, Data_out =  27091
Time =             72500000, Counter = 720, amp = 51, Data_out =  26013
Time =             73500000, Counter = 730, amp = 50, Data_out =  24995
Time =             74500000, Counter = 740, amp = 50, Data_out =  24068
Time =             75500000, Counter = 750, amp = 50, Data_out =  23235
Time =             76500000, Counter = 760, amp = 50, Data_out =  22457
Time =             77500000, Counter = 770, amp = 50, Data_out =  21713
Time =             78500000, Counter = 780, amp = 51, Data_out =  21033
