Time =             31500000, Counter = 211, amp = 148, Data_out =  43575
Time =             32500000, Counter = 416, amp = 124, Data_out =  45833
Time =             33500000, Counter = 621, amp = 63, Data_out =  35956
Time =             34500000, Counter = 826, amp = 55, Data_out =  27634
Time =             35500000, Counter = 7, amp = 103, Data_out =  32352
Time =             36500000, Counter = 212, amp = 148, Data_out =  43582
Time =             37500000, Counter = 417, amp = 124, Data_out =  45836
Time =             38500000, Counter = 622, amp = 63, Data_out =  35956
Time =             39500000, Counter = 827, amp = 55, Data_out =  27634
Time =             40500000, Counter = 8, amp = 103, Data_out =  32354
Time =             41500000, Counter = 213, amp = 148, Data_out =  43588
Time =             42500000, Counter = 418, amp = 121, Data_out =  45836
Time =             43500000, Counter = 623, amp = 63, Data_out =  35938
Time =             44500000, Counter = 828, amp = 55, Data_out =  27628
Time =             45500000, Counter = 9, amp = 103, Data_out =  32354
Time =             46500000, Counter = 214, amp = 148, Data_out =  43588
Time =             47500000, Counter = 419, amp = 121, Data_out =  45827
Time =             48500000, Counter = 624, amp = 61, Data_out =  35917
Time =             49500000, Counter = 829, amp = 56, Data_out =  27616
Time =             50500000, Counter = 10, amp = 103, Data_out =  32356
Time =             51500000, Counter = 215, amp = 148, Data_out =  43584
Time =             52500000, Counter = 420, amp = 121, Data_out =  45782
Time =             53500000, Counter = 625, amp = 61, Data_out =  35908
Time =             54500000, Counter = 830, amp = 56, Data_out =  27605
Time =             55500000, Counter = 11, amp = 106, Data_out =  32363
Time =             56500000, Counter = 216, amp = 148, Data_out =  43464
Time =             57500000, Counter = 421, amp = 121, Data_out =  45466
Time =             58500000, Counter = 626, amp = 61, Data_out =  35562
Time =             59500000, Counter = 831, amp = 56, Data_out =  27480
Time =             60500000, Counter = 12, amp = 106, Data_out =  32373
Time =             61500000, Counter = 217, amp = 149, Data_out =  43485
Time =             62500000, Counter = 422, amp = 121, Data_out =  45377
Time =             63500000, Counter = 627, amp = 61, Data_out =  35353
Time =             64500000, Counter = 832, amp = 56, Data_out =  27374
Time =             65500000, Counter = 13, amp = 106, Data_out =  32432
Time =             66500000, Counter = 218, amp = 149, Data_out =  43537
Time =             67500000, Counter = 423, amp = 121, Data_out =  45363
Time =             68500000, Counter = 628, amp = 61, Data_out =  35342
Time =             69500000, Counter = 833, amp = 56, Data_out =  27483
Time =             70500000, Counter = 14, amp = 106, Data_out =  32763
Time =             71500000, Counter = 219, amp = 149, Data_out =  43866
Time =             72500000, Counter = 424, amp = 121, Data_out =  45484
Time =             73500000, Counter = 629, amp = 61, Data_out =  35328
Time =             74500000, Counter = 834, amp = 56, Data_out =  27484
Time =             75500000, Counter = 15, amp = 106, Data_out =  32815
Time =             76500000, Counter = 220, amp = 149, Data_out =  44017
Time =             77500000, Counter = 425, amp = 121, Data_out =  45592
Time =             78500000, Counter = 630, amp = 61, Data_out =  35364
Time =             79500000, Counter = 835, amp = 56, Data_out =  27490
Time =             80500000, Counter = 16, amp = 106, Data_out =  32836
Time =             81500000, Counter = 221, amp = 149, Data_out =  44027
Time =             82500000, Counter = 426, amp = 121, Data_out =  45607
Time =             83500000, Counter = 631, amp = 61, Data_out =  35366
Time =             84500000, Counter = 836, amp = 56, Data_out =  27496
Time =             85500000, Counter = 17, amp = 106, Data_out =  32854
Time =             86500000, Counter = 222, amp = 149, Data_out =  44034
Time =             87500000, Counter = 427, amp = 121, Data_out =  45610
Time =             88500000, Counter = 632, amp = 61, Data_out =  35366
Time =             89500000, Counter = 837, amp = 56, Data_out =  27496
Time =             90500000, Counter = 18, amp = 106, Data_out =  32856
Time =             91500000, Counter = 223, amp = 149, Data_out =  44040
Time =             92500000, Counter = 428, amp = 118, Data_out =  45610
Time =             93500000, Counter = 633, amp = 61, Data_out =  35348
Time =             94500000, Counter = 838, amp = 56, Data_out =  27490
Time =             95500000, Counter = 19, amp = 106, Data_out =  32856
Time =             96500000, Counter = 224, amp = 149, Data_out =  44040
Time =             97500000, Counter = 429, amp = 118, Data_out =  45601
Time =             98500000, Counter = 634, amp = 59, Data_out =  35327
Time =             99500000, Counter = 839, amp = 58, Data_out =  27478
Time =            100500000, Counter = 20, amp = 106, Data_out =  32864
Time =            101500000, Counter = 225, amp = 149, Data_out =  44038
Time =            102500000, Counter = 430, amp = 118, Data_out =  45556
Time =            103500000, Counter = 635, amp = 59, Data_out =  35318
Time =            104500000, Counter = 840, amp = 58, Data_out =  27470
Time =            105500000, Counter = 21, amp = 109, Data_out =  32878
Time =            106500000, Counter = 226, amp = 149, Data_out =  43918
Time =            107500000, Counter = 431, amp = 118, Data_out =  45240
Time =            108500000, Counter = 636, amp = 59, Data_out =  34974
Time =            109500000, Counter = 841, amp = 58, Data_out =  27360
Time =            110500000, Counter = 22, amp = 109, Data_out =  32889
Time =            111500000, Counter = 227, amp = 149, Data_out =  43939
Time =            112500000, Counter = 432, amp = 118, Data_out =  45145
Time =            113500000, Counter = 637, amp = 59, Data_out =  34809
Time =            114500000, Counter = 842, amp = 58, Data_out =  27360
Time =            115500000, Counter = 23, amp = 109, Data_out =  33054
Time =            116500000, Counter = 228, amp = 149, Data_out =  44034
Time =            117500000, Counter = 433, amp = 118, Data_out =  45124
Time =            118500000, Counter = 638, amp = 59, Data_out =  34798
Time =            119500000, Counter = 843, amp = 58, Data_out =  27470
Time =            120500000, Counter = 24, amp = 109, Data_out =  33398
Time =            121500000, Counter = 229, amp = 149, Data_out =  44350
Time =            122500000, Counter = 434, amp = 118, Data_out =  45244
Time =            123500000, Counter = 639, amp = 59, Data_out =  34784
Time =            124500000, Counter = 844, amp = 58, Data_out =  27478
Time =            125500000, Counter = 25, amp = 109, Data_out =  33407
Time =            126500000, Counter = 230, amp = 149, Data_out =  44395
Time =            127500000, Counter = 435, amp = 118, Data_out =  45246
Time =            128500000, Counter = 640, amp = 59, Data_out =  34776
Time =            129500000, Counter = 845, amp = 58, Data_out =  27490
Time =            130500000, Counter = 26, amp = 109, Data_out =  33428
Time =            131500000, Counter = 231, amp = 149, Data_out =  44404
Time =            132500000, Counter = 436, amp = 118, Data_out =  45246
Time =            133500000, Counter = 641, amp = 59, Data_out =  34776
Time =            134500000, Counter = 846, amp = 58, Data_out =  27496
Time =            135500000, Counter = 27, amp = 109, Data_out =  33446
Time =            136500000, Counter = 232, amp = 149, Data_out =  44404
Time =            137500000, Counter = 437, amp = 118, Data_out =  45246
Time =            138500000, Counter = 642, amp = 59, Data_out =  34776
Time =            139500000, Counter = 847, amp = 58, Data_out =  27496
Time =            140500000, Counter = 28, amp = 109, Data_out =  33446
Time =            141500000, Counter = 233, amp = 149, Data_out =  44404
Time =            142500000, Counter = 438, amp = 118, Data_out =  45246
Time =            143500000, Counter = 643, amp = 59, Data_out =  34776
Time =            144500000, Counter = 848, amp = 58, Data_out =  27496
Time =            145500000, Counter = 29, amp = 109, Data_out =  33446
Time =            146500000, Counter = 234, amp = 149, Data_out =  44404
Time =            147500000, Counter = 439, amp = 115, Data_out =  45246
Time =            148500000, Counter = 644, amp = 58, Data_out =  34758
Time =            149500000, Counter = 849, amp = 59, Data_out =  27484
Time =            150500000, Counter = 30, amp = 109, Data_out =  33450
Time =            151500000, Counter = 235, amp = 149, Data_out =  44406
Time =            152500000, Counter = 440, amp = 115, Data_out =  45237
Time =            153500000, Counter = 645, amp = 58, Data_out =  34734
Time =            154500000, Counter = 850, amp = 59, Data_out =  27480
Time =            155500000, Counter = 31, amp = 112, Data_out =  33457
Time =            156500000, Counter = 236, amp = 149, Data_out =  44418
Time =            157500000, Counter = 441, amp = 115, Data_out =  45196
Time =            158500000, Counter = 646, amp = 58, Data_out =  34718
Time =            159500000, Counter = 851, amp = 59, Data_out =  27494
Time =            160500000, Counter = 32, amp = 112, Data_out =  33467
Time =            161500000, Counter = 237, amp = 150, Data_out =  44301
Time =            162500000, Counter = 442, amp = 115, Data_out =  44838
Time =            163500000, Counter = 647, amp = 58, Data_out =  34342
Time =            164500000, Counter = 852, amp = 59, Data_out =  27362
Time =            165500000, Counter = 33, amp = 112, Data_out =  33572
Time =            166500000, Counter = 238, amp = 150, Data_out =  44353
Time =            167500000, Counter = 443, amp = 115, Data_out =  44842
Time =            168500000, Counter = 648, amp = 58, Data_out =  34296
Time =            169500000, Counter = 853, amp = 59, Data_out =  27480
Time =            170500000, Counter = 34, amp = 112, Data_out =  33905
Time =            171500000, Counter = 239, amp = 150, Data_out =  44688
Time =            172500000, Counter = 444, amp = 115, Data_out =  44960
Time =            173500000, Counter = 649, amp = 58, Data_out =  34280
Time =            174500000, Counter = 854, amp = 59, Data_out =  27484
Time =            175500000, Counter = 35, amp = 112, Data_out =  33957
Time =            176500000, Counter = 240, amp = 150, Data_out =  44833
Time =            177500000, Counter = 445, amp = 115, Data_out =  45052
Time =            178500000, Counter = 650, amp = 58, Data_out =  34322
Time =            179500000, Counter = 855, amp = 59, Data_out =  27490
Time =            180500000, Counter = 36, amp = 112, Data_out =  33978
Time =            181500000, Counter = 241, amp = 150, Data_out =  44843
Time =            182500000, Counter = 446, amp = 115, Data_out =  45067
Time =            183500000, Counter = 651, amp = 58, Data_out =  34324
Time =            184500000, Counter = 856, amp = 59, Data_out =  27496
Time =            185500000, Counter = 37, amp = 112, Data_out =  33996
Time =            186500000, Counter = 242, amp = 150, Data_out =  44850
Time =            187500000, Counter = 447, amp = 115, Data_out =  45070
Time =            188500000, Counter = 652, amp = 58, Data_out =  34324
Time =            189500000, Counter = 857, amp = 59, Data_out =  27496
Time =            190500000, Counter = 38, amp = 112, Data_out =  33998
Time =            191500000, Counter = 243, amp = 150, Data_out =  44856
Time =            192500000, Counter = 448, amp = 115, Data_out =  45070
Time =            193500000, Counter = 653, amp = 58, Data_out =  34324
Time =            194500000, Counter = 858, amp = 59, Data_out =  27496
Time =            195500000, Counter = 39, amp = 112, Data_out =  33998
Time =            196500000, Counter = 244, amp = 150, Data_out =  44856
Time =            197500000, Counter = 449, amp = 112, Data_out =  45070
Time =            198500000, Counter = 654, amp = 58, Data_out =  34306
Time =            199500000, Counter = 859, amp = 61, Data_out =  27490
Time =            200500000, Counter = 40, amp = 112, Data_out =  34010
Time =            201500000, Counter = 245, amp = 150, Data_out =  44860
Time =            202500000, Counter = 450, amp = 112, Data_out =  45061
Time =            203500000, Counter = 655, amp = 58, Data_out =  34285
Time =            204500000, Counter = 860, amp = 61, Data_out =  27496
Time =            205500000, Counter = 41, amp = 115, Data_out =  34024
Time =            206500000, Counter = 246, amp = 150, Data_out =  44872
Time =            207500000, Counter = 451, amp = 112, Data_out =  45022
Time =            208500000, Counter = 656, amp = 58, Data_out =  34286
Time =            209500000, Counter = 861, amp = 61, Data_out =  27526
Time =            210500000, Counter = 42, amp = 115, Data_out =  34035
Time =            211500000, Counter = 247, amp = 150, Data_out =  44755
Time =            212500000, Counter = 452, amp = 112, Data_out =  44704
Time =            213500000, Counter = 657, amp = 58, Data_out =  34060
Time =            214500000, Counter = 862, amp = 61, Data_out =  27606
Time =            215500000, Counter = 43, amp = 115, Data_out =  34292
Time =            216500000, Counter = 248, amp = 150, Data_out =  44850
Time =            217500000, Counter = 453, amp = 112, Data_out =  44701
Time =            218500000, Counter = 658, amp = 58, Data_out =  34015
Time =            219500000, Counter = 863, amp = 61, Data_out =  27740
Time =            220500000, Counter = 44, amp = 115, Data_out =  34640
Time =            221500000, Counter = 249, amp = 150, Data_out =  45172
Time =            222500000, Counter = 454, amp = 112, Data_out =  44818
Time =            223500000, Counter = 659, amp = 58, Data_out =  34006
Time =            224500000, Counter = 864, amp = 61, Data_out =  27754
Time =            225500000, Counter = 45, amp = 115, Data_out =  34649
Time =            226500000, Counter = 250, amp = 150, Data_out =  45211
Time =            227500000, Counter = 455, amp = 112, Data_out =  44806
Time =            228500000, Counter = 660, amp = 58, Data_out =  34010
Time =            229500000, Counter = 865, amp = 61, Data_out =  27766
Time =            230500000, Counter = 46, amp = 115, Data_out =  34670
Time =            231500000, Counter = 251, amp = 150, Data_out =  45220
Time =            232500000, Counter = 456, amp = 112, Data_out =  44806
Time =            233500000, Counter = 661, amp = 58, Data_out =  34010
Time =            234500000, Counter = 866, amp = 61, Data_out =  27772
Time =            235500000, Counter = 47, amp = 115, Data_out =  34688
Time =            236500000, Counter = 252, amp = 150, Data_out =  45220
Time =            237500000, Counter = 457, amp = 112, Data_out =  44806
Time =            238500000, Counter = 662, amp = 58, Data_out =  34010
