Time =             31500000, Counter = 620, amp = 63, Data_out =  52759
Time =             32500000, Counter = 640, amp = 59, Data_out =  51673
Time =             33500000, Counter = 660, amp = 58, Data_out =  50339
Time =             34500000, Counter = 680, amp = 55, Data_out =  48911
Time =             35500000, Counter = 700, amp = 52, Data_out =  47369
Time =             36500000, Counter = 720, amp = 51, Data_out =  45615
Time =             37500000, Counter = 740, amp = 50, Data_out =  43672
Time =             38500000, Counter = 760, amp = 50, Data_out =  41608
Time =             39500000, Counter = 780, amp = 51, Data_out =  39613
Time =             40500000, Counter = 800, amp = 52, Data_out =  37693
Time =             41500000, Counter = 820, amp = 55, Data_out =  35882
Time =             42500000, Counter = 840, amp = 58, Data_out =  33934
Time =             43500000, Counter = 860, amp = 61, Data_out =  31769
Time =             44500000, Counter = 880, amp = 66, Data_out =  29596
Time =             45500000, Counter = 900, amp = 70, Data_out =  27717
Time =             46500000, Counter = 920, amp = 73, Data_out =  26088
Time =             47500000, Counter = 940, amp = 78, Data_out =  24722
Time =             48500000, Counter = 960, amp = 84, Data_out =  23692
Time =             49500000, Counter = 980, amp = 90, Data_out =  22799
Time =             50500000, Counter = 1000, amp = 97, Data_out =  21988
Time =             51500000, Counter = 1020, amp = 100, Data_out =  21339
Time =             52500000, Counter = 16, amp = 106, Data_out =  20920
Time =             53500000, Counter = 36, amp = 112, Data_out =  20767
Time =             54500000, Counter = 56, amp = 118, Data_out =  20931
Time =             55500000, Counter = 76, amp = 124, Data_out =  21319
Time =             56500000, Counter = 96, amp = 129, Data_out =  21954
Time =             57500000, Counter = 116, amp = 134, Data_out =  22826
Time =             58500000, Counter = 136, amp = 138, Data_out =  23937
Time =             59500000, Counter = 156, amp = 142, Data_out =  25246
Time =             60500000, Counter = 176, amp = 145, Data_out =  26631
Time =             61500000, Counter = 196, amp = 147, Data_out =  27946
Time =             62500000, Counter = 216, amp = 148, Data_out =  29441
Time =             63500000, Counter = 236, amp = 149, Data_out =  31225
Time =             64500000, Counter = 256, amp = 150, Data_out =  33244
Time =             65500000, Counter = 276, amp = 149, Data_out =  35262
Time =             66500000, Counter = 296, amp = 148, Data_out =  37077
Time =             67500000, Counter = 316, amp = 146, Data_out =  38808
Time =             68500000, Counter = 336, amp = 142, Data_out =  40682
Time =             69500000, Counter = 356, amp = 136, Data_out =  42716
Time =             70500000, Counter = 376, amp = 132, Data_out =  44671
Time =             71500000, Counter = 396, amp = 127, Data_out =  46509
Time =             72500000, Counter = 416, amp = 124, Data_out =  48130
Time =             73500000, Counter = 436, amp = 118, Data_out =  49649
Time =             74500000, Counter = 456, amp = 112, Data_out =  50997
Time =             75500000, Counter = 476, amp = 106, Data_out =  52102
Time =             76500000, Counter = 496, amp = 100, Data_out =  52928
Time =             77500000, Counter = 516, amp = 93, Data_out =  53484
Time =             78500000, Counter = 536, amp = 87, Data_out =  53864
Time =             79500000, Counter = 556, amp = 78, Data_out =  54048
Time =             80500000, Counter = 576, amp = 73, Data_out =  54025
Time =             81500000, Counter = 596, amp = 68, Data_out =  53712
Time =             82500000, Counter = 616, amp = 63, Data_out =  53134
Time =             83500000, Counter = 636, amp = 59, Data_out =  52075
Time =             84500000, Counter = 656, amp = 58, Data_out =  50634
Time =             85500000, Counter = 676, amp = 55, Data_out =  49055
Time =             86500000, Counter = 696, amp = 52, Data_out =  47556
Time =             87500000, Counter = 716, amp = 51, Data_out =  46083
Time =             88500000, Counter = 736, amp = 50, Data_out =  44455
Time =             89500000, Counter = 756, amp = 50, Data_out =  42549
Time =             90500000, Counter = 776, amp = 50, Data_out =  40529
Time =             91500000, Counter = 796, amp = 51, Data_out =  38466
Time =             92500000, Counter = 816, amp = 53, Data_out =  36335
Time =             93500000, Counter = 836, amp = 56, Data_out =  34117
Time =             94500000, Counter = 856, amp = 59, Data_out =  31813
Time =             95500000, Counter = 876, amp = 63, Data_out =  29633
Time =             96500000, Counter = 896, amp = 68, Data_out =  27747
Time =             97500000, Counter = 916, amp = 73, Data_out =  26139
Time =             98500000, Counter = 936, amp = 78, Data_out =  24746
Time =             99500000, Counter = 956, amp = 84, Data_out =  23700
Time =            100500000, Counter = 976, amp = 90, Data_out =  22789
Time =            101500000, Counter = 996, amp = 97, Data_out =  21977
Time =            102500000, Counter = 1016, amp = 100, Data_out =  21323
Time =            103500000, Counter = 12, amp = 106, Data_out =  20908
Time =            104500000, Counter = 32, amp = 112, Data_out =  20707
Time =            105500000, Counter = 52, amp = 118, Data_out =  20752
Time =            106500000, Counter = 72, amp = 121, Data_out =  21000
Time =            107500000, Counter = 92, amp = 127, Data_out =  21478
Time =            108500000, Counter = 112, amp = 132, Data_out =  22246
Time =            109500000, Counter = 132, amp = 136, Data_out =  23267
Time =            110500000, Counter = 152, amp = 140, Data_out =  24515
Time =            111500000, Counter = 172, amp = 144, Data_out =  25968
Time =            112500000, Counter = 192, amp = 146, Data_out =  27540
Time =            113500000, Counter = 212, amp = 148, Data_out =  29287
Time =            114500000, Counter = 232, amp = 149, Data_out =  31167
Time =            115500000, Counter = 252, amp = 150, Data_out =  33174
Time =            116500000, Counter = 272, amp = 149, Data_out =  35135
Time =            117500000, Counter = 292, amp = 148, Data_out =  36977
Time =            118500000, Counter = 312, amp = 146, Data_out =  38741
Time =            119500000, Counter = 332, amp = 144, Data_out =  40624
Time =            120500000, Counter = 352, amp = 138, Data_out =  42521
Time =            121500000, Counter = 372, amp = 134, Data_out =  44225
Time =            122500000, Counter = 392, amp = 129, Data_out =  45865
Time =            123500000, Counter = 412, amp = 124, Data_out =  47475
Time =            124500000, Counter = 432, amp = 118, Data_out =  49033
Time =            125500000, Counter = 452, amp = 112, Data_out =  50433
Time =            126500000, Counter = 472, amp = 106, Data_out =  51651
Time =            127500000, Counter = 492, amp = 100, Data_out =  52597
Time =            128500000, Counter = 512, amp = 93, Data_out =  53312
Time =            129500000, Counter = 532, amp = 87, Data_out =  53816
Time =            130500000, Counter = 552, amp = 81, Data_out =  54048
Time =            131500000, Counter = 572, amp = 76, Data_out =  54023
Time =            132500000, Counter = 592, amp = 70, Data_out =  53725
Time =            133500000, Counter = 612, amp = 66, Data_out =  53209
Time =            134500000, Counter = 632, amp = 61, Data_out =  52379
Time =            135500000, Counter = 652, amp = 58, Data_out =  51151
Time =            136500000, Counter = 672, amp = 56, Data_out =  49662
Time =            137500000, Counter = 692, amp = 53, Data_out =  48079
Time =            138500000, Counter = 712, amp = 51, Data_out =  46399
Time =            139500000, Counter = 732, amp = 50, Data_out =  44568
Time =            140500000, Counter = 752, amp = 50, Data_out =  42632
Time =            141500000, Counter = 772, amp = 50, Data_out =  40612
Time =            142500000, Counter = 792, amp = 51, Data_out =  38545
Time =            143500000, Counter = 812, amp = 53, Data_out =  36427
Time =            144500000, Counter = 832, amp = 56, Data_out =  34306
Time =            145500000, Counter = 852, amp = 59, Data_out =  32293
Time =            146500000, Counter = 872, amp = 63, Data_out =  30398
Time =            147500000, Counter = 892, amp = 68, Data_out =  28589
Time =            148500000, Counter = 912, amp = 73, Data_out =  26910
Time =            149500000, Counter = 932, amp = 78, Data_out =  25384
Time =            150500000, Counter = 952, amp = 84, Data_out =  24115
Time =            151500000, Counter = 972, amp = 87, Data_out =  23097
Time =            152500000, Counter = 992, amp = 93, Data_out =  22236
Time =            153500000, Counter = 1012, amp = 100, Data_out =  21484
Time =            154500000, Counter = 8, amp = 103, Data_out =  20997
Time =            155500000, Counter = 28, amp = 109, Data_out =  20746
Time =            156500000, Counter = 48, amp = 115, Data_out =  20754
Time =            157500000, Counter = 68, amp = 121, Data_out =  20982
Time =            158500000, Counter = 88, amp = 127, Data_out =  21488
Time =            159500000, Counter = 108, amp = 132, Data_out =  22268
Time =            160500000, Counter = 128, amp = 136, Data_out =  23261
Time =            161500000, Counter = 148, amp = 140, Data_out =  24461
Time =            162500000, Counter = 168, amp = 144, Data_out =  25912
Time =            163500000, Counter = 188, amp = 146, Data_out =  27555
Time =            164500000, Counter = 208, amp = 148, Data_out =  29248
Time =            165500000, Counter = 228, amp = 149, Data_out =  30977
Time =            166500000, Counter = 248, amp = 150, Data_out =  32632
Time =            167500000, Counter = 268, amp = 149, Data_out =  34396
Time =            168500000, Counter = 288, amp = 148, Data_out =  36277
Time =            169500000, Counter = 308, amp = 147, Data_out =  38101
Time =            170500000, Counter = 328, amp = 145, Data_out =  39856
Time =            171500000, Counter = 348, amp = 138, Data_out =  41752
Time =            172500000, Counter = 368, amp = 134, Data_out =  43722
Time =            173500000, Counter = 388, amp = 129, Data_out =  45661
Time =            174500000, Counter = 408, amp = 124, Data_out =  47467
Time =            175500000, Counter = 428, amp = 118, Data_out =  48995
Time =            176500000, Counter = 448, amp = 115, Data_out =  50365
Time =            177500000, Counter = 468, amp = 109, Data_out =  51581
Time =            178500000, Counter = 488, amp = 103, Data_out =  52605
Time =            179500000, Counter = 508, amp = 97, Data_out =  53332
Time =            180500000, Counter = 528, amp = 90, Data_out =  53826
Time =            181500000, Counter = 548, amp = 84, Data_out =  54028
Time =            182500000, Counter = 568, amp = 76, Data_out =  54044
Time =            183500000, Counter = 588, amp = 70, Data_out =  53801
Time =            184500000, Counter = 608, amp = 66, Data_out =  53370
Time =            185500000, Counter = 628, amp = 61, Data_out =  52610
Time =            186500000, Counter = 648, amp = 58, Data_out =  51366
Time =            187500000, Counter = 668, amp = 56, Data_out =  49783
Time =            188500000, Counter = 688, amp = 53, Data_out =  48135
Time =            189500000, Counter = 708, amp = 51, Data_out =  46469
Time =            190500000, Counter = 728, amp = 50, Data_out =  44777
Time =            191500000, Counter = 748, amp = 50, Data_out =  43153
Time =            192500000, Counter = 768, amp = 50, Data_out =  41391
Time =            193500000, Counter = 788, amp = 51, Data_out =  39503
Time =            194500000, Counter = 808, amp = 53, Data_out =  37452
Time =            195500000, Counter = 828, amp = 55, Data_out =  35334
Time =            196500000, Counter = 848, amp = 58, Data_out =  33113
Time =            197500000, Counter = 868, amp = 61, Data_out =  30894
Time =            198500000, Counter = 888, amp = 66, Data_out =  28769
Time =            199500000, Counter = 908, amp = 70, Data_out =  26957
Time =            200500000, Counter = 928, amp = 76, Data_out =  25434
Time =            201500000, Counter = 948, amp = 81, Data_out =  24164
Time =            202500000, Counter = 968, amp = 87, Data_out =  23143
Time =            203500000, Counter = 988, amp = 93, Data_out =  22246
Time =            204500000, Counter = 1008, amp = 100, Data_out =  21496
Time =            205500000, Counter = 4, amp = 103, Data_out =  20992
Time =            206500000, Counter = 24, amp = 109, Data_out =  20757
Time =            207500000, Counter = 44, amp = 115, Data_out =  20731
Time =            208500000, Counter = 64, amp = 121, Data_out =  20970
Time =            209500000, Counter = 84, amp = 127, Data_out =  21421
Time =            210500000, Counter = 104, amp = 132, Data_out =  22101
Time =            211500000, Counter = 124, amp = 134, Data_out =  22928
Time =            212500000, Counter = 144, amp = 138, Data_out =  23990
Time =            213500000, Counter = 164, amp = 142, Data_out =  25288
Time =            214500000, Counter = 184, amp = 145, Data_out =  26825
Time =            215500000, Counter = 204, amp = 147, Data_out =  28477
Time =            216500000, Counter = 224, amp = 149, Data_out =  30279
Time =            217500000, Counter = 244, amp = 150, Data_out =  32181
Time =            218500000, Counter = 264, amp = 150, Data_out =  34204
Time =            219500000, Counter = 284, amp = 149, Data_out =  36229
Time =            220500000, Counter = 304, amp = 147, Data_out =  38037
Time =            221500000, Counter = 324, amp = 145, Data_out =  39768
Time =            222500000, Counter = 344, amp = 138, Data_out =  41650
Time =            223500000, Counter = 364, amp = 136, Data_out =  43665
Time =            224500000, Counter = 384, amp = 132, Data_out =  45635
Time =            225500000, Counter = 404, amp = 127, Data_out =  47357
Time =            226500000, Counter = 424, amp = 121, Data_out =  48677
Time =            227500000, Counter = 444, amp = 115, Data_out =  49850
Time =            228500000, Counter = 464, amp = 109, Data_out =  51030
Time =            229500000, Counter = 484, amp = 103, Data_out =  52166
