Time =            101500000, Counter = 505, amp = 97, Data_out =  44865
Time =            102500000, Counter = 510, amp = 97, Data_out =  44309
Time =            103500000, Counter = 515, amp = 93, Data_out =  43769
Time =            104500000, Counter = 520, amp = 93, Data_out =  43196
Time =            105500000, Counter = 525, amp = 90, Data_out =  42651
Time =            106500000, Counter = 530, amp = 90, Data_out =  42096
Time =            107500000, Counter = 535, amp = 87, Data_out =  41541
Time =            108500000, Counter = 540, amp = 87, Data_out =  40988
Time =            109500000, Counter = 545, amp = 84, Data_out =  40411
Time =            110500000, Counter = 550, amp = 84, Data_out =  39865
Time =            111500000, Counter = 555, amp = 78, Data_out =  39307
Time =            112500000, Counter = 560, amp = 78, Data_out =  38762
Time =            113500000, Counter = 565, amp = 76, Data_out =  38141
Time =            114500000, Counter = 570, amp = 76, Data_out =  37618
Time =            115500000, Counter = 575, amp = 73, Data_out =  37020
Time =            116500000, Counter = 580, amp = 73, Data_out =  36621
Time =            117500000, Counter = 585, amp = 70, Data_out =  36134
Time =            118500000, Counter = 590, amp = 70, Data_out =  35641
Time =            119500000, Counter = 595, amp = 68, Data_out =  34942
Time =            120500000, Counter = 600, amp = 68, Data_out =  34368
Time =            121500000, Counter = 605, amp = 66, Data_out =  33725
Time =            122500000, Counter = 610, amp = 66, Data_out =  33205
Time =            123500000, Counter = 615, amp = 63, Data_out =  32663
Time =            124500000, Counter = 620, amp = 63, Data_out =  32088
Time =            125500000, Counter = 625, amp = 61, Data_out =  31391
Time =            126500000, Counter = 630, amp = 61, Data_out =  30518
Time =            127500000, Counter = 635, amp = 59, Data_out =  29712
Time =            128500000, Counter = 640, amp = 59, Data_out =  29105
Time =            129500000, Counter = 645, amp = 58, Data_out =  28673
Time =            130500000, Counter = 650, amp = 58, Data_out =  28161
Time =            131500000, Counter = 655, amp = 58, Data_out =  27638
Time =            132500000, Counter = 660, amp = 58, Data_out =  27049
Time =            133500000, Counter = 665, amp = 56, Data_out =  26533
Time =            134500000, Counter = 670, amp = 56, Data_out =  26104
Time =            135500000, Counter = 675, amp = 55, Data_out =  25725
Time =            136500000, Counter = 680, amp = 55, Data_out =  25316
Time =            137500000, Counter = 685, amp = 53, Data_out =  24889
Time =            138500000, Counter = 690, amp = 53, Data_out =  24392
Time =            139500000, Counter = 695, amp = 52, Data_out =  23917
Time =            140500000, Counter = 700, amp = 52, Data_out =  23494
Time =            141500000, Counter = 705, amp = 51, Data_out =  23130
Time =            142500000, Counter = 710, amp = 51, Data_out =  22755
Time =            143500000, Counter = 715, amp = 51, Data_out =  22423
Time =            144500000, Counter = 720, amp = 51, Data_out =  22153
Time =            145500000, Counter = 725, amp = 51, Data_out =  21993
Time =            146500000, Counter = 730, amp = 50, Data_out =  21889
Time =            147500000, Counter = 735, amp = 50, Data_out =  21724
Time =            148500000, Counter = 740, amp = 50, Data_out =  21451
Time =            149500000, Counter = 745, amp = 50, Data_out =  21152
Time =            150500000, Counter = 750, amp = 50, Data_out =  20918
Time =            151500000, Counter = 755, amp = 50, Data_out =  20682
Time =            152500000, Counter = 760, amp = 50, Data_out =  20396
Time =            153500000, Counter = 765, amp = 50, Data_out =  20112
Time =            154500000, Counter = 770, amp = 50, Data_out =  19873
Time =            155500000, Counter = 775, amp = 50, Data_out =  19699
Time =            156500000, Counter = 780, amp = 51, Data_out =  19513
Time =            157500000, Counter = 785, amp = 51, Data_out =  19396
Time =            158500000, Counter = 790, amp = 51, Data_out =  19306
Time =            159500000, Counter = 795, amp = 51, Data_out =  19289
Time =            160500000, Counter = 800, amp = 52, Data_out =  19221
Time =            161500000, Counter = 805, amp = 52, Data_out =  19118
Time =            162500000, Counter = 810, amp = 53, Data_out =  18988
Time =            163500000, Counter = 815, amp = 53, Data_out =  18928
Time =            164500000, Counter = 820, amp = 55, Data_out =  18921
Time =            165500000, Counter = 825, amp = 55, Data_out =  18929
Time =            166500000, Counter = 830, amp = 56, Data_out =  18943
Time =            167500000, Counter = 835, amp = 56, Data_out =  18923
Time =            168500000, Counter = 840, amp = 58, Data_out =  18928
Time =            169500000, Counter = 845, amp = 58, Data_out =  18942
Time =            170500000, Counter = 850, amp = 59, Data_out =  19019
Time =            171500000, Counter = 855, amp = 59, Data_out =  19124
Time =            172500000, Counter = 860, amp = 61, Data_out =  19251
Time =            173500000, Counter = 865, amp = 61, Data_out =  19320
Time =            174500000, Counter = 870, amp = 63, Data_out =  19414
Time =            175500000, Counter = 875, amp = 63, Data_out =  19537
Time =            176500000, Counter = 880, amp = 66, Data_out =  19710
Time =            177500000, Counter = 885, amp = 66, Data_out =  19906
Time =            178500000, Counter = 890, amp = 68, Data_out =  20156
Time =            179500000, Counter = 895, amp = 68, Data_out =  20436
Time =            180500000, Counter = 900, amp = 70, Data_out =  20728
Time =            181500000, Counter = 905, amp = 70, Data_out =  20974
Time =            182500000, Counter = 910, amp = 73, Data_out =  21233
Time =            183500000, Counter = 915, amp = 73, Data_out =  21536
Time =            184500000, Counter = 920, amp = 73, Data_out =  21848
Time =            185500000, Counter = 925, amp = 76, Data_out =  22099
Time =            186500000, Counter = 930, amp = 76, Data_out =  22388
Time =            187500000, Counter = 935, amp = 78, Data_out =  22690
Time =            188500000, Counter = 940, amp = 78, Data_out =  23064
Time =            189500000, Counter = 945, amp = 81, Data_out =  23424
Time =            190500000, Counter = 950, amp = 81, Data_out =  23848
Time =            191500000, Counter = 955, amp = 84, Data_out =  24317
Time =            192500000, Counter = 960, amp = 84, Data_out =  24809
Time =            193500000, Counter = 965, amp = 87, Data_out =  25230
Time =            194500000, Counter = 970, amp = 87, Data_out =  25591
Time =            195500000, Counter = 975, amp = 90, Data_out =  26006
Time =            196500000, Counter = 980, amp = 90, Data_out =  26406
Time =            197500000, Counter = 985, amp = 93, Data_out =  26936
Time =            198500000, Counter = 990, amp = 93, Data_out =  27315
Time =            199500000, Counter = 995, amp = 97, Data_out =  27709
Time =            200500000, Counter = 1000, amp = 97, Data_out =  28087
Time =            201500000, Counter = 1005, amp = 100, Data_out =  28626
Time =            202500000, Counter = 1010, amp = 100, Data_out =  29040
Time =            203500000, Counter = 1015, amp = 100, Data_out =  29525
Time =            204500000, Counter = 1020, amp = 100, Data_out =  29980
Time =            205500000, Counter = 1, amp = 103, Data_out =  30532
Time =            206500000, Counter = 6, amp = 103, Data_out =  31093
Time =            207500000, Counter = 11, amp = 106, Data_out =  31654
Time =            208500000, Counter = 16, amp = 106, Data_out =  32190
Time =            209500000, Counter = 21, amp = 109, Data_out =  32723
Time =            210500000, Counter = 26, amp = 109, Data_out =  33294
Time =            211500000, Counter = 31, amp = 112, Data_out =  33846
Time =            212500000, Counter = 36, amp = 112, Data_out =  34409
Time =            213500000, Counter = 41, amp = 115, Data_out =  34953
Time =            214500000, Counter = 46, amp = 115, Data_out =  35620
Time =            215500000, Counter = 51, amp = 115, Data_out =  36290
Time =            216500000, Counter = 56, amp = 118, Data_out =  36880
Time =            217500000, Counter = 61, amp = 118, Data_out =  37312
Time =            218500000, Counter = 66, amp = 121, Data_out =  37546
Time =            219500000, Counter = 71, amp = 121, Data_out =  37805
Time =            220500000, Counter = 76, amp = 124, Data_out =  38225
Time =            221500000, Counter = 81, amp = 124, Data_out =  38791
Time =            222500000, Counter = 86, amp = 127, Data_out =  39355
Time =            223500000, Counter = 91, amp = 127, Data_out =  39916
Time =            224500000, Counter = 96, amp = 129, Data_out =  40436
Time =            225500000, Counter = 101, amp = 129, Data_out =  40952
Time =            226500000, Counter = 106, amp = 132, Data_out =  41550
Time =            227500000, Counter = 111, amp = 132, Data_out =  42078
Time =            228500000, Counter = 116, amp = 134, Data_out =  42659
Time =            229500000, Counter = 121, amp = 134, Data_out =  43037
Time =            230500000, Counter = 126, amp = 136, Data_out =  43448
Time =            231500000, Counter = 131, amp = 136, Data_out =  43832
Time =            232500000, Counter = 136, amp = 138, Data_out =  44424
Time =            233500000, Counter = 141, amp = 138, Data_out =  44923
Time =            234500000, Counter = 146, amp = 140, Data_out =  45499
Time =            235500000, Counter = 151, amp = 140, Data_out =  46014
Time =            236500000, Counter = 156, amp = 142, Data_out =  46563
Time =            237500000, Counter = 161, amp = 142, Data_out =  47116
Time =            238500000, Counter = 166, amp = 144, Data_out =  47610
Time =            239500000, Counter = 171, amp = 144, Data_out =  48056
Time =            240500000, Counter = 176, amp = 145, Data_out =  48469
Time =            241500000, Counter = 181, amp = 145, Data_out =  48981
Time =            242500000, Counter = 186, amp = 146, Data_out =  49461
Time =            243500000, Counter = 191, amp = 146, Data_out =  49913
Time =            244500000, Counter = 196, amp = 147, Data_out =  50280
Time =            245500000, Counter = 201, amp = 147, Data_out =  50656
Time =            246500000, Counter = 206, amp = 147, Data_out =  51033
Time =            247500000, Counter = 211, amp = 148, Data_out =  51418
Time =            248500000, Counter = 216, amp = 148, Data_out =  51800
Time =            249500000, Counter = 221, amp = 149, Data_out =  52163
Time =            250500000, Counter = 226, amp = 149, Data_out =  52525
Time =            251500000, Counter = 231, amp = 149, Data_out =  52891
Time =            252500000, Counter = 236, amp = 149, Data_out =  53246
Time =            253500000, Counter = 241, amp = 150, Data_out =  53608
Time =            254500000, Counter = 246, amp = 150, Data_out =  53914
Time =            255500000, Counter = 251, amp = 150, Data_out =  54172
Time =            256500000, Counter = 256, amp = 150, Data_out =  54356
Time =            257500000, Counter = 261, amp = 150, Data_out =  54571
Time =            258500000, Counter = 266, amp = 150, Data_out =  54753
Time =            259500000, Counter = 271, amp = 149, Data_out =  54975
Time =            260500000, Counter = 276, amp = 149, Data_out =  55099
Time =            261500000, Counter = 281, amp = 149, Data_out =  55222
Time =            262500000, Counter = 286, amp = 149, Data_out =  55351
Time =            263500000, Counter = 291, amp = 148, Data_out =  55551
Time =            264500000, Counter = 296, amp = 148, Data_out =  55716
Time =            265500000, Counter = 301, amp = 147, Data_out =  55839
Time =            266500000, Counter = 306, amp = 147, Data_out =  55896
Time =            267500000, Counter = 311, amp = 146, Data_out =  55952
Time =            268500000, Counter = 316, amp = 146, Data_out =  56077
Time =            269500000, Counter = 321, amp = 145, Data_out =  56171
Time =            270500000, Counter = 326, amp = 145, Data_out =  56231
