Vivado Simulator 2020.1
Time resolution is 1 ps
Time =               500000, Counter = 0, amp = 103, Data_out =      x
Time =              1500000, Counter = 205, amp = 147, Data_out =      x
Time =              2500000, Counter = 410, amp = 124, Data_out =      x
Time =              3500000, Counter = 615, amp = 63, Data_out =      x
Time =              4500000, Counter = 820, amp = 55, Data_out =      x
Time =              5500000, Counter = 1, amp = 103, Data_out =      x
Time =              6500000, Counter = 206, amp = 147, Data_out =      x
Time =              7500000, Counter = 411, amp = 124, Data_out =      x
Time =              8500000, Counter = 616, amp = 63, Data_out =      x
Time =              9500000, Counter = 821, amp = 55, Data_out =      x
Time =             10500000, Counter = 2, amp = 103, Data_out =      x
Time =             11500000, Counter = 207, amp = 148, Data_out =      x
Time =             12500000, Counter = 412, amp = 124, Data_out =      x
Time =             13500000, Counter = 617, amp = 63, Data_out =      x
Time =             14500000, Counter = 822, amp = 55, Data_out =      x
Time =             15500000, Counter = 3, amp = 103, Data_out =      x
Time =             16500000, Counter = 208, amp = 148, Data_out =      x
Time =             17500000, Counter = 413, amp = 124, Data_out =      x
Time =             18500000, Counter = 618, amp = 63, Data_out =      x
Time =             19500000, Counter = 823, amp = 55, Data_out =      x
Time =             20500000, Counter = 4, amp = 103, Data_out =      x
Time =             21500000, Counter = 209, amp = 148, Data_out =      x
Time =             22500000, Counter = 414, amp = 124, Data_out =      x
Time =             23500000, Counter = 619, amp = 63, Data_out =      x
Time =             24500000, Counter = 824, amp = 55, Data_out =      x
Time =             25500000, Counter = 5, amp = 103, Data_out =      x
Time =             26500000, Counter = 210, amp = 148, Data_out =      x
Time =             27500000, Counter = 415, amp = 124, Data_out =      x
Time =             28500000, Counter = 620, amp = 63, Data_out =      x
Time =             29500000, Counter = 825, amp = 55, Data_out =      x
Time =             30500000, Counter = 6, amp = 103, Data_out =      x
Time =             31500000, Counter = 211, amp = 148, Data_out =  33571
Time =             32500000, Counter = 416, amp = 124, Data_out =  33876
Time =             33500000, Counter = 621, amp = 63, Data_out =  32584
Time =             34500000, Counter = 826, amp = 55, Data_out =  31508
Time =             35500000, Counter = 7, amp = 103, Data_out =  32124
Time =             36500000, Counter = 212, amp = 148, Data_out =  33577
Time =             37500000, Counter = 417, amp = 124, Data_out =  33880
Time =             38500000, Counter = 622, amp = 63, Data_out =  32585
Time =             39500000, Counter = 827, amp = 55, Data_out =  31508
Time =             40500000, Counter = 8, amp = 103, Data_out =  32124
Time =             41500000, Counter = 213, amp = 148, Data_out =  33577
Time =             42500000, Counter = 418, amp = 121, Data_out =  33876
Time =             43500000, Counter = 623, amp = 63, Data_out =  32585
Time =             44500000, Counter = 828, amp = 55, Data_out =  31508
Time =             45500000, Counter = 9, amp = 103, Data_out =  32124
Time =             46500000, Counter = 214, amp = 148, Data_out =  33574
Time =             47500000, Counter = 419, amp = 121, Data_out =  33864
Time =             48500000, Counter = 624, amp = 61, Data_out =  32563
Time =             49500000, Counter = 829, amp = 56, Data_out =  31501
Time =             50500000, Counter = 10, amp = 103, Data_out =  32124
Time =             51500000, Counter = 215, amp = 148, Data_out =  33574
Time =             52500000, Counter = 420, amp = 121, Data_out =  33862
Time =             53500000, Counter = 625, amp = 61, Data_out =  32556
Time =             54500000, Counter = 830, amp = 56, Data_out =  31469
Time =             55500000, Counter = 11, amp = 106, Data_out =  32043
Time =             56500000, Counter = 216, amp = 148, Data_out =  33427
Time =             57500000, Counter = 421, amp = 121, Data_out =  33673
Time =             58500000, Counter = 626, amp = 61, Data_out =  32367
Time =             59500000, Counter = 831, amp = 56, Data_out =  31322
Time =             60500000, Counter = 12, amp = 106, Data_out =  31952
Time =             61500000, Counter = 217, amp = 149, Data_out =  33373
Time =             62500000, Counter = 422, amp = 121, Data_out =  33611
Time =             63500000, Counter = 627, amp = 61, Data_out =  32291
Time =             64500000, Counter = 832, amp = 56, Data_out =  31259
Time =             65500000, Counter = 13, amp = 106, Data_out =  31916
Time =             66500000, Counter = 218, amp = 149, Data_out =  33360
Time =             67500000, Counter = 423, amp = 121, Data_out =  33636
Time =             68500000, Counter = 628, amp = 61, Data_out =  32377
Time =             69500000, Counter = 833, amp = 56, Data_out =  31406
Time =             70500000, Counter = 14, amp = 106, Data_out =  32105
Time =             71500000, Counter = 219, amp = 149, Data_out =  33549
Time =             72500000, Counter = 424, amp = 121, Data_out =  33780
Time =             73500000, Counter = 629, amp = 61, Data_out =  32457
Time =             74500000, Counter = 834, amp = 56, Data_out =  31457
Time =             75500000, Counter = 15, amp = 106, Data_out =  32157
Time =             76500000, Counter = 220, amp = 149, Data_out =  33613
Time =             77500000, Counter = 425, amp = 121, Data_out =  33843
Time =             78500000, Counter = 630, amp = 61, Data_out =  32507
Time =             79500000, Counter = 835, amp = 56, Data_out =  31491
Time =             80500000, Counter = 16, amp = 106, Data_out =  32185
Time =             81500000, Counter = 221, amp = 149, Data_out =  33625
Time =             82500000, Counter = 426, amp = 121, Data_out =  33846
Time =             83500000, Counter = 631, amp = 61, Data_out =  32507
Time =             84500000, Counter = 836, amp = 56, Data_out =  31491
Time =             85500000, Counter = 17, amp = 106, Data_out =  32188
Time =             86500000, Counter = 222, amp = 149, Data_out =  33637
Time =             87500000, Counter = 427, amp = 121, Data_out =  33850
Time =             88500000, Counter = 632, amp = 61, Data_out =  32508
Time =             89500000, Counter = 837, amp = 56, Data_out =  31491
Time =             90500000, Counter = 18, amp = 106, Data_out =  32188
Time =             91500000, Counter = 223, amp = 149, Data_out =  33637
Time =             92500000, Counter = 428, amp = 118, Data_out =  33846
Time =             93500000, Counter = 633, amp = 61, Data_out =  32508
Time =             94500000, Counter = 838, amp = 56, Data_out =  31491
Time =             95500000, Counter = 19, amp = 106, Data_out =  32188
Time =             96500000, Counter = 224, amp = 149, Data_out =  33634
Time =             97500000, Counter = 429, amp = 118, Data_out =  33834
Time =             98500000, Counter = 634, amp = 59, Data_out =  32486
Time =             99500000, Counter = 839, amp = 58, Data_out =  31486
Time =            100500000, Counter = 20, amp = 106, Data_out =  32188
Time =            101500000, Counter = 225, amp = 149, Data_out =  33634
Time =            102500000, Counter = 430, amp = 118, Data_out =  33832
Time =            103500000, Counter = 635, amp = 59, Data_out =  32480
Time =            104500000, Counter = 840, amp = 58, Data_out =  31458
Time =            105500000, Counter = 21, amp = 109, Data_out =  32113
Time =            106500000, Counter = 226, amp = 149, Data_out =  33490
Time =            107500000, Counter = 431, amp = 118, Data_out =  33643
Time =            108500000, Counter = 636, amp = 59, Data_out =  32291
Time =            109500000, Counter = 841, amp = 58, Data_out =  31311
Time =            110500000, Counter = 22, amp = 109, Data_out =  32022
Time =            111500000, Counter = 227, amp = 149, Data_out =  33442
Time =            112500000, Counter = 432, amp = 118, Data_out =  33610
Time =            113500000, Counter = 637, amp = 59, Data_out =  32265
Time =            114500000, Counter = 842, amp = 58, Data_out =  31311
Time =            115500000, Counter = 23, amp = 109, Data_out =  32048
Time =            116500000, Counter = 228, amp = 149, Data_out =  33475
Time =            117500000, Counter = 433, amp = 118, Data_out =  33658
Time =            118500000, Counter = 638, amp = 59, Data_out =  32356
Time =            119500000, Counter = 843, amp = 58, Data_out =  31458
Time =            120500000, Counter = 24, amp = 109, Data_out =  32237
